enviro,observer,task,ori,n_runs,threshold,t_sem,slope,s_sem
web,p2,spatial,minus45,5,11.0048,0.175,3.0639,0.1549
web,p2,spatial,plus45,5,12.6828,0.8236,5.06,0.7829
web,p3,temporal,horizontal,5,0.6813,0.0068,0.1745,0.0064
web,p3,temporal,vertical,5,0.4911,0.0117,0.1371,0.0091
web,p3,temporal,minus45,5,1.9152,0.0385,0.6897,0.0416
web,p3,temporal,plus45,5,1.8366,0.0865,0.8452,0.0836
web,p3,spatial,horizontal,5,0.8949,0.05,0.2766,0.0442
web,p3,spatial,vertical,5,1.5221,0.0672,0.4649,0.0633
web,p3,spatial,minus45,5,6.9678,0.1346,2.4972,0.128
web,p3,spatial,plus45,5,5.8674,0.1824,2.0843,0.1661
web,p4,temporal,horizontal,5,0.9023,0.0266,0.3479,0.0233
web,p4,temporal,vertical,6,1.0568,0.0188,0.3983,0.0163
web,p4,temporal,minus45,5,10.491,0.4502,5.261,0.4368
web,p4,temporal,plus45,5,6.8441,0.189,0.7842,0.3949
web,p4,spatial,horizontal,6,1.6425,0.097,0.9909,0.0951
web,p4,spatial,vertical,5,1.6905,0.1473,0.667,0.1332
web,p4,spatial,minus45,6,11.6583,0.3214,4.4041,0.2955
web,p4,spatial,plus45,5,11.4556,0.3698,4.4744,0.3413
web,p5,temporal,horizontal,5,1.2018,0.0346,0.4002,0.0302
web,p5,temporal,vertical,5,1.393,0.0548,0.6191,0.0499
web,p5,temporal,minus45,5,9.7359,0.3147,2.8096,0.2786
web,p5,temporal,plus45,5,11.573,0.334,3.4653,0.2974
web,p5,spatial,horizontal,5,2.0941,0.1176,0.8976,0.1092
web,p5,spatial,vertical,5,2.5849,0.0712,0.8947,0.0656
web,p5,spatial,minus45,5,17.82,0.5631,4.6278,0.5527
web,p5,spatial,plus45,5,19.3214,0.6886,4.2213,0.6853
web,p6,temporal,horizontal,5,1.7417,0.1628,1.2221,0.1697
web,p6,temporal,vertical,5,2.099,0.1425,0.8669,0.1314
web,p6,temporal,minus45,5,12.405,0.5687,5.6976,0.5635
web,p6,temporal,plus45,5,13.4045,0.9273,7.1153,1.023
web,p6,spatial,horizontal,5,2.3007,0.0561,0.7018,0.05
web,p6,spatial,vertical,5,2.7373,0.1063,1.1331,0.1053
web,p6,spatial,minus45,5,17.1392,0.583,4.1424,0.5506
web,p6,spatial,plus45,6,22.3539,0.6113,4.9369,0.6518
web,p7,temporal,horizontal,5,1.0534,0.0302,0.3049,0.0235
web,p7,temporal,vertical,5,0.9283,0.0478,0.3423,0.0412
web,p7,temporal,minus45,5,6.5001,0.2429,0.9301,0.2708
web,p7,temporal,plus45,5,8.1129,0.248,2.3329,0.2192
web,p7,spatial,horizontal,5,1.7446,0.0387,0.5659,0.0345
web,p7,spatial,vertical,6,2.3464,0.0845,0.7754,0.076
web,p7,spatial,minus45,5,15.0261,0.4318,5.5891,0.4297
web,p7,spatial,plus45,5,13.3411,1.0705,6.4382,1.1207
web,p8,temporal,horizontal,5,1.7525,0.0569,0.553,0.0506
web,p8,temporal,vertical,5,1.2515,0.0766,0.5066,0.0687
web,p8,temporal,minus45,5,10.3616,0.5513,4.3536,0.5093
web,p8,temporal,plus45,5,8.1849,0.4344,3.173,0.3915
web,p8,spatial,horizontal,5,2.8615,0.062,0.8386,0.0568
web,p8,spatial,vertical,5,2.3667,0.0372,0.7003,0.0331
web,p8,spatial,minus45,5,18.501,0.6124,4.8291,0.616
web,p8,spatial,plus45,5,18.043,0.298,4.7734,0.296
web,p9,temporal,horizontal,4,1.1908,0.0225,0.2332,0.0166
web,p9,temporal,vertical,6,0.9918,0.0273,0.3513,0.023
web,p9,temporal,minus45,5,9.6738,0.4578,3.5128,0.4117
web,p9,temporal,plus45,5,8.6873,0.3307,3.3374,0.2981
web,p9,spatial,horizontal,5,1.898,0.0691,0.7255,0.0625
web,p9,spatial,vertical,5,2.6225,0.0796,0.7861,0.0718
web,p9,spatial,minus45,6,13.4515,0.3597,4.4497,0.3314
web,p9,spatial,plus45,4,13.2759,0.6286,4.1454,0.5714
web,p19,temporal,horizontal,5,1.3998,0.182,1.0721,0.1861
web,p19,temporal,vertical,5,1.3615,0.0496,0.3544,0.0457
web,p19,temporal,minus45,5,15.2249,0.674,6.0507,0.6931
web,p19,temporal,plus45,5,15.163,0.4911,5.8299,0.4973
web,p19,spatial,horizontal,5,2.7596,0.0884,0.7867,0.0799
web,p19,spatial,vertical,5,2.9243,0.082,0.8033,0.0746
web,p19,spatial,minus45,5,16.2936,0.58,2.5379,0.5121
web,p19,spatial,plus45,5,17.2839,0.28,4.6614,0.2724
web,p20,temporal,horizontal,5,0.8903,0.0662,0.4961,0.0621
web,p20,temporal,vertical,5,0.9879,0.026,0.2893,0.0228
web,p20,temporal,minus45,5,7.024,0.4862,3.6097,0.4541
web,p20,temporal,plus45,6,6.3809,0.2562,3.0579,0.2355
web,p20,spatial,horizontal,6,2.1196,0.0589,0.6757,0.0536
web,p20,spatial,vertical,6,1.7588,0.0692,0.7713,0.0651
web,p20,spatial,minus45,5,11.4164,0.5422,4.006,0.4908
